Atlanta,Marcus Giles
Atlanta,Edgar Renteria
Atlanta,Chipper Jones
Atlanta,Andruw Jones
Atlanta,Brian McCann
Atlanta,Jeff Francoeur
Atlanta,Adam LaRoche
Atlanta,Ryan Langerhans
Atlanta,Matt Diaz
Atlanta,Todd Pratt
Atlanta,Pete Orr
Atlanta,Willy Aybar
Atlanta,John Smoltz
Atlanta,Tim Hudson
Atlanta,Chuck James
Atlanta,John Thomson
Atlanta,Horacio Ramirez
Atlanta,Ken Ray
Atlanta,Macay McBride
Atlanta,Bob Wickman
Atlanta,Tony Pena-Jr
Atlanta,Daryle Ward
Atlanta,Scott Thorman
Atlanta,Brian Jordan
Atlanta,Kyle Davies
Atlanta,Chad Paronto
Atlanta,Danys Baez
Atlanta,Oscar Villarreal
Atlanta,Tyler Yates
Atlanta,Lance Cormier
ChiCubs,Juan Pierre
ChiCubs,Freddie Bynum
ChiCubs,Ryan Theriot
ChiCubs,Derrek Lee
ChiCubs,John Mabry
ChiCubs,Aramis Ramirez
ChiCubs,Michael Barrett
ChiCubs,Jacque Jones
ChiCubs,Matt Murton
ChiCubs,Angel Pagan
ChiCubs,Ronny Cedeno
ChiCubs,Henry Blanco
ChiCubs,Carlos Zambrano
ChiCubs,Sean Marshall
ChiCubs,Rich Hill
ChiCubs,Carlos Marmol
ChiCubs,Bobby Howry
ChiCubs,Will Ohman
ChiCubs,Ryan Dempster
ChiCubs,Scott Eyre
ChiCubs,Cesar Izturis
ChiCubs,Tony Womack
ChiCubs,Scott Moore
ChiCubs,Juan Mateo
ChiCubs,Mark Prior
ChiCubs,Glendon Rusch
ChiCubs,Angel Guzman
ChiCubs,Roberto Novoa
ChiCubs,David Aardsma
ChiCubs,Michael Wuertz
Cincinnati,Ryan Freel
Cincinnati,Royce Clayton
Cincinnati,Ken Griffey Jr.
Cincinnati,Edwin Encarnacion
Cincinnati,Rich Aurilia
Cincinnati,Adam Dunn
Cincinnati,Scott Hatteberg
